REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Aug-17,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.1,,,,1
Sep-17,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.9,,,,1
Oct-17,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.7,,,,1
Nov-17,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.5,,,,1
Dec-17,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.6,,,,1
Jan-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.4,,,,1
Feb-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.4,,,,1
Mar-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.3,,,,1
Apr-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.6,,,,1
May-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.1,,,,1
Jun-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.5,,,,1
Jul-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.7,,,,1
Aug-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.7,,,,1
Sep-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.9,,,,1
Oct-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61,,,,1
Nov-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.1,,,,1
Dec-18,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.2,,,,1
Jan-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.2,,,,1
Feb-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.3,,,,1
Mar-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61,,,,1
Apr-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.1,,,,1
May-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.2,,,,1
Jun-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.4,,,,1
Jul-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.2,,,,1
Aug-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.9,,,,1
Sep-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.9,,,,1
Oct-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.1,,,,1
Nov-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.2,,,,1
Dec-19,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.1,,,,1
Jan-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.9,,,,1
Feb-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.6,,,,1
Mar-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59,,,,1
Apr-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,55.5,,,,1
May-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,52.3,,,,1
Jun-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,51.9,,,,1
Jul-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,53.7,,,,1
Aug-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,55.8,,,,1
Sep-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,57.2,,,,1
Oct-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,58.3,,,,1
Nov-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.1,,,,1
Dec-20,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.1,,,,1
Jan-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,58.7,,,,1
Feb-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,58.4,,,,1
Mar-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,58.6,,,,1
Apr-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,58.8,,,,1
May-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,58.9,,,,1
Jun-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.2,,,,1
Jul-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,59.7,,,,1
Aug-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.1,,,,1
Sep-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,60.6,,,,1
Oct-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.1,,,,1
Nov-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.9,,,,1
Dec-21,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.1,,,,1
Jan-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.8,,,,1
Feb-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.6,,,,1
Mar-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.4,,,,1
Apr-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.8,,,,1
May-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,61.8,,,,1
Jun-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62,,,,1
Jul-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.3,,,,1
Aug-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.5,,,,1
Sep-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.4,,,,1
Oct-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.4,,,,1
Nov-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.6,,,,1
Dec-22,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.7,,,,1
Jan-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.5,,,,1
Feb-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.5,,,,1
Mar-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.5,,,,1
Apr-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.8,,,,1
May-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,63,,,,1
Jun-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,63.3,,,,1
Jul-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,63.4,,,,1
Aug-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,63.2,,,,1
Sep-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.8,,,,1
Oct-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.5,,,,1
Nov-23,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units,0,v53035534,1.2.10.1,62.5,,,,1
Mar-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.4,,,,1
Apr-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.3,,,,1
May-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.5,,,,1
Jun-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58,,,,1
Jul-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.9,,,,1
Aug-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.3,,,,1
Sep-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.2,,,,1
Oct-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.6,,,,1
Nov-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.9,,,,1
Dec-06,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.5,,,,1
Jan-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.4,,,,1
Feb-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.8,,,,1
Mar-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.3,,,,1
Apr-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.6,,,,1
May-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.6,,,,1
Jun-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57,,,,1
Jul-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.2,,,,1
Aug-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.2,,,,1
Sep-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.8,,,,1
Oct-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.3,,,,1
Nov-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.4,,,,1
Dec-07,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.9,,,,1
Jan-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.6,,,,1
Feb-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59,,,,1
Mar-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.5,,,,1
Apr-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.5,,,,1
May-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59,,,,1
Jun-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60.3,,,,1
Jul-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60.9,,,,1
Aug-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,61,,,,1
Sep-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,61,,,,1
Oct-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60.8,,,,1
Nov-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60.5,,,,1
Dec-08,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.9,,,,1
Jan-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.1,,,,1
Feb-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.8,,,,1
Mar-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.7,,,,1
Apr-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.6,,,,1
May-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.1,,,,1
Jun-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.7,,,,1
Jul-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.7,,,,1
Aug-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.7,,,,1
Sep-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.8,,,,1
Oct-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.3,,,,1
Nov-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.5,,,,1
Dec-09,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59,,,,1
Jan-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.3,,,,1
Feb-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.6,,,,1
Mar-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.7,,,,1
Apr-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.5,,,,1
May-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.4,,,,1
Jun-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.7,,,,1
Jul-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.5,,,,1
Aug-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.5,,,,1
Sep-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.6,,,,1
Oct-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.4,,,,1
Nov-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58,,,,1
Dec-10,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.2,,,,1
Jan-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.2,,,,1
Feb-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,55.2,,,,1
Mar-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,55,,,,1
Apr-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,55.7,,,,1
May-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.9,,,,1
Jun-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.5,,,,1
Jul-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.3,,,,1
Aug-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60,,,,1
Sep-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.8,,,,1
Oct-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.1,,,,1
Nov-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.3,,,,1
Dec-11,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.1,,,,1
Jan-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,55.7,,,,1
Feb-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,55.6,,,,1
Mar-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.1,,,,1
Apr-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.8,,,,1
May-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.6,,,,1
Jun-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.6,,,,1
Jul-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,61.2,,,,1
Aug-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,62.1,,,,1
Sep-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,62.7,,,,1
Oct-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,62,,,,1
Nov-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,61.1,,,,1
Dec-12,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.7,,,,1
Jan-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.9,,,,1
Feb-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.9,,,,1
Mar-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.1,,,,1
Apr-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.3,,,,1
May-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59,,,,1
Jun-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.6,,,,1
Jul-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60.9,,,,1
Aug-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,62.4,,,,1
Sep-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,62.6,,,,1
Oct-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,61.8,,,,1
Nov-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60.2,,,,1
Dec-13,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.6,,,,1
Jan-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.3,,,,1
Feb-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57,,,,1
Mar-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,56.6,,,,1
Apr-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,57.5,,,,1
May-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.1,,,,1
Jun-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58,,,,1
Jul-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,58.4,,,,1
Aug-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,59.1,,,,1
Sep-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60,,,,1
Oct-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,60.4,,,,1
Nov-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,61,,,,1
Dec-14,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units,0,v53035554,1.3.10.1,61.3,,,,1
